"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,63.8,20,14.5,29.63,-1.51,-0.07,0.07,0
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,122.27,26,12.79,26.78,-1.15,-0.03,0.24,0.2
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,93.8,24,12.49,25.9,-1.13,-0.028,0.15,0.16
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,14,14.03,27.53,-2.27,-0.101,0,-0.12
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.45,23,14.03,27.59,-0.31,-0.009,0.19,0.13
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,543.37,32,13.4,27.66,0.41,0.062,0.32,0.3
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,254.55,28,11.96,26.12,2.57,0.031,0.07,0.19
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,18,12.57,26.56,0.91,-0.039,0.09,0.09
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1485.73,27,14.14,28.04,1.2,0.039,0.22,0.22
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1378.1,32,13.65,27.94,0.99,0.045,0.33,0.33
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1194.68,28,13.6,27.45,1,-0.002,0.16,0.16
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1500,27,14.69,29.53,0.96,0.02,0.26,0.23
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1562.65,31,14.67,29.27,-0.07,-0.04,0.15,0.18
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1268.28,25,13.76,27.48,0.25,-0.003,0.2,0.28
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,630.15,26,14.12,28.79,3.41,0.146,0.43,0.44
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1092.75,29,14.17,28.65,3.34,0.166,0.4,0.41
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1182.83,27,13.97,29.23,3.74,0.113,0.28,0.35
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,15.1,15,12.53,25.69,-1.94,-0.043,0.23,0.07
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,143.03,28,12.66,26.23,-1.64,-0.07,-0.01,-0.03
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,65.65,21,14.58,29.35,0.89,-0.006,0.09,0.1
